model,logo,perturbation,level,correct
gemma,Blue Style,Noise,2,True
gemma,Blue Style,Noise,3,True
gemma,Blue Style,Noise,4,True
gemma,Capital One,Noise,1,True
gemma,Capital One,Noise,2,True
gemma,Capital One,Noise,3,True
gemma,Capital One,Noise,4,True
gemma,Chase,Noise,1,True
gemma,Chase,Noise,2,True
gemma,Chase,Noise,3,True
gemma,Chase,Noise,4,True
gemma,Costco,Noise,1,True
gemma,Costco,Noise,2,True
gemma,Costco,Noise,3,True
gemma,Costco,Noise,4,True
gemma,DHL,Noise,1,True
gemma,DHL,Noise,2,True
gemma,DHL,Noise,3,True
gemma,DHL,Noise,4,True
gemma,Discover,Noise,1,True
gemma,Discover,Noise,2,True
gemma,Discover,Noise,3,True
gemma,Discover,Noise,4,True
gemma,ExxonMobil,Noise,1,True
gemma,ExxonMobil,Noise,2,True
gemma,ExxonMobil,Noise,3,True
gemma,ExxonMobil,Noise,4,True
gemma,Facebook,Noise,1,True
gemma,Facebook,Noise,2,True
gemma,Facebook,Noise,3,True
gemma,Facebook,Noise,4,True
gemma,FedEx,Noise,1,True
gemma,FedEx,Noise,2,True
gemma,FedEx,Noise,3,True
gemma,FedEx,Noise,4,True
gemma,Google,Noise,1,True
gemma,Google,Noise,2,True
gemma,Google,Noise,3,True
gemma,Google,Noise,4,True
gemma,JPMorganChase,Noise,1,True
gemma,JPMorganChase,Noise,2,True
gemma,JPMorganChase,Noise,3,True
gemma,JPMorganChase,Noise,4,True
gemma,Kroger,Noise,1,True
gemma,Kroger,Noise,2,True
gemma,Kroger,Noise,3,True
gemma,Kroger,Noise,4,True
gemma,Mastercard,Noise,1,True
gemma,Mastercard,Noise,2,True
gemma,Mastercard,Noise,3,True
gemma,Mastercard,Noise,4,True
gemma,McDonalds,Noise,1,True
gemma,McDonalds,Noise,2,True
gemma,McDonalds,Noise,3,True
gemma,McDonalds,Noise,4,True
gemma,McKesson,Noise,1,True
gemma,McKesson,Noise,2,True
gemma,McKesson,Noise,3,True
gemma,McKesson,Noise,4,True
gemma,Microsoft,Noise,1,True
gemma,Microsoft,Noise,2,True
gemma,Microsoft,Noise,3,True
gemma,Microsoft,Noise,4,True
gemma,Nike,Noise,1,True
gemma,Nike,Noise,2,True
gemma,Nike,Noise,3,True
gemma,Nike,Noise,4,True
gemma,Nurel Group,Noise,1,True
gemma,Nurel Group,Noise,2,True
gemma,Nurel Group,Noise,3,True
gemma,Nurel Group,Noise,4,True
gemma,P&G,Noise,1,True
gemma,P&G,Noise,2,True
gemma,P&G,Noise,3,True
gemma,P&G,Noise,4,True
gemma,PAGO,Noise,1,True
gemma,PAGO,Noise,2,True
gemma,PAGO,Noise,3,True
gemma,PAGO,Noise,4,True
gemma,PayPal,Noise,1,False
gemma,PayPal,Noise,2,False
gemma,PayPal,Noise,3,False
gemma,PayPal,Noise,4,True
gemma,Regions,Noise,1,True
gemma,Regions,Noise,2,True
gemma,Regions,Noise,3,True
gemma,Regions,Noise,4,True
gemma,State Farm,Noise,1,True
gemma,State Farm,Noise,2,True
gemma,State Farm,Noise,3,True
gemma,State Farm,Noise,4,True
gemma,SunTrust,Noise,1,True
gemma,SunTrust,Noise,2,True
gemma,SunTrust,Noise,3,True
gemma,SunTrust,Noise,4,True
gemma,Target,Noise,1,True
gemma,Target,Noise,2,True
gemma,Target,Noise,3,True
gemma,Target,Noise,4,True
gemma,The Home Depot,Noise,1,False
gemma,The Home Depot,Noise,2,True
gemma,The Home Depot,Noise,3,True
gemma,The Home Depot,Noise,4,True
gemma,UPS,Noise,1,True
gemma,UPS,Noise,2,True
gemma,UPS,Noise,3,True
gemma,UPS,Noise,4,True
gemma,United Healthcare,Noise,1,True
gemma,United Healthcare,Noise,2,True
gemma,United Healthcare,Noise,3,True
gemma,United Healthcare,Noise,4,True
gemma,VISA,Noise,1,True
gemma,VISA,Noise,2,True
gemma,VISA,Noise,3,True
gemma,VISA,Noise,4,True
